type,location_id,name,x_lon,y_lat
LSOA,E01000001,City of London 001A,-0.09675154,51.51800775
LSOA,E01000002,City of London 001B,-0.09252709,51.51821627
LSOA,E01000003,City of London 001C,-0.09578666,51.52172445
LSOA,E01000005,City of London 001E,-0.07578427,51.51354751
LSOA,E01000006,Barking and Dagenham 016A,0.08846771,51.53897838
LSOA,E01000007,Barking and Dagenham 015A,0.07707664,51.54043342
LSOA,E01000008,Barking and Dagenham 015B,0.06971788,51.54011201
LSOA,E01000009,Barking and Dagenham 016B,0.08373209,51.54050603
LSOA,E01000010,Barking and Dagenham 015C,0.07823386,51.53693461
LSOA,E01000011,Barking and Dagenham 016C,0.08069955,51.54308236
LSOA,E01000012,Barking and Dagenham 015D,0.07398534,51.54298365
LSOA,E01000013,Barking and Dagenham 013A,0.14685072,51.54317944
LSOA,E01000014,Barking and Dagenham 013B,0.13983202,51.54354142
LSOA,E01000015,Barking and Dagenham 009A,0.15586625,51.54442469
LSOA,E01000016,Barking and Dagenham 009B,0.15200531,51.54936068
LSOA,E01000017,Barking and Dagenham 009C,0.14620909,51.54934794
LSOA,E01000018,Barking and Dagenham 009D,0.15209722,51.54652998
LSOA,E01000019,Barking and Dagenham 023A,0.12055812,51.55822048
LSOA,E01000020,Barking and Dagenham 023B,0.12473704,51.55626134
LSOA,E01000021,Barking and Dagenham 008A,0.11605817,51.55445416
LSOA,E01000022,Barking and Dagenham 008B,0.12110196,51.55403053
LSOA,E01000023,Barking and Dagenham 008C,0.11114887,51.55113733
LSOA,E01000024,Barking and Dagenham 008D,0.12077582,51.55119655
LSOA,E01000025,Barking and Dagenham 008E,0.11798197,51.54937759
LSOA,E01000027,Barking and Dagenham 001A,0.14193116,51.5908813
LSOA,E01000028,Barking and Dagenham 001B,0.12950478,51.58510484
LSOA,E01000029,Barking and Dagenham 001C,0.13428527,51.58030018
LSOA,E01000030,Barking and Dagenham 001D,0.13664627,51.58340256
LSOA,E01000031,Barking and Dagenham 002A,0.14402601,51.58031231
LSOA,E01000032,Barking and Dagenham 002B,0.13394791,51.5746476
LSOA,E01000033,Barking and Dagenham 006A,0.16288388,51.55488892
LSOA,E01000034,Barking and Dagenham 003A,0.17151694,51.55712879
LSOA,E01000035,Barking and Dagenham 010A,0.16287894,51.54965637
LSOA,E01000036,Barking and Dagenham 010B,0.16809635,51.54619751
LSOA,E01000037,Barking and Dagenham 003B,0.17953571,51.56252787
LSOA,E01000038,Barking and Dagenham 003C,0.17307107,51.56316379
LSOA,E01000039,Barking and Dagenham 003D,0.17876768,51.55275347
LSOA,E01000040,Barking and Dagenham 019A,0.09746673,51.53662724
