station_id,datefield,hour,temperature,dew_point,humidity,wind_dir,wind_speed,wind_gust,pressure,visibility
EGLC,20140101,0,8,4.5,78.59,205,24.076,25.928,1002.028,3.473067
EGLC,20140101,1,7,4.5,84.15,205,20.372,22.224,1002.028,3.858273
EGLC,20140101,2,8,5,81.34,205,19.446,24.076,1002.028,2.895258
EGLC,20140101,3,8,5,81.34,195,13.89,14.816,1001.52,3.858273
EGLC,20140101,4,8.5,6,84.33,200,15.742,16.668,1001.013,3.858273
EGLC,20140101,5,9,6,81.47,200,19.446,20.372,1000.505,3.858273
EGLC,20140101,6,9,6,81.47,185,17.594,18.52,999.997,3.858273
EGLC,20140101,7,9.5,6,78.83,185,19.446,20.372,998.981,3.858273
EGLC,20140101,8,10,6,76.18,180,21.298,24.076,998.473,3.858273
EGLC,20140101,9,10,6,76.18,180,24.076,44.448,997.457,3.858273
EGLC,20140101,10,9.5,5.5,76.09,185,28.706,57.412,996.441,3.858273
EGLC,20140101,11,9,5.5,78.74,165,28.706,50.004,993.393,3.858273
EGLC,20140101,12,9,6.5,84.38,160,31.484,51.856,991.361,3.66567
EGLC,20140101,13,10,7.5,84.49,170,30.558,57.412,989.499,2.028544
EGLC,20140101,14,10.5,8.5,87.42,185,32.41,33.336,988.652,1.73964
EGLC,20140101,15,11,8.5,84.6,190,31.484,53.708,988.144,3.473067
EGLC,20140101,16,11,8,81.74,185,28.706,31.484,987.128,3.66567
EGLC,20140101,17,11,8,81.74,185,32.41,62.968,986.112,3.858273
EGLC,20140101,18,11,9,87.47,190,33.336,51.856,985.097,2.702655
EGLC,20140101,19,11.5,9,84.67,195,27.78,44.448,985.097,3.858273
EGLC,20140101,20,12,8.5,79.19,200,31.484,51.856,985.097,3.858273
EGLC,20140101,21,10,8,87.37,190,18.52,18.52,985.097,3.473067
EGLC,20140101,22,11,8,81.74,190,24.076,25.928,984.081,3.858273
EGLC,20140101,23,11,8,81.74,210,24.076,25.928,985.097,3.858273
EGLC,20140102,0,11,7,76.34,200,25.002,25.928,985.097,3.858273
EGLC,20140102,1,9.5,6.5,81.73,210,20.372,22.224,985.605,3.280464
EGLC,20140102,2,9,7,87.28,230,11.112,12.964,986.112,2.895258
EGLC,20140102,3,10,7.5,84.49,215,13.89,14.816,986.112,3.280464
EGLC,20140102,4,9,7,87.28,255,18.52,24.076,987.128,3.858273
EGLC,20140102,5,8.5,5.5,81.41,260,25.002,25.928,988.652,3.858273
EGLC,20140102,6,8,5,81.34,255,21.298,24.076,990.345,3.858273
