OA,x_lon,y_lat,LSOA,MSOA,LAD,PCS,PCD,PCA,WARD,CTY
E00000001,-0.0950596,51.52023109,E01000001,E02000001,E09000001,EC2Y8,EC2Y,EC,E05009288,E13000001
E00000003,-0.09631061,51.51989846,E01000001,E02000001,E09000001,EC2Y8,EC2Y,EC,E05009288,E13000001
E00000005,-0.09653634,51.51902599,E01000001,E02000001,E09000001,EC2Y8,EC2Y,EC,E05009288,E13000001
E00000007,-0.09695209,51.51678213,E01000001,E02000001,E09000001,EC1A4,EC1A,EC,E05009288,E13000001
E00000010,-0.0973491,51.52258764,E01000003,E02000001,E09000001,EC1Y0,EC1Y,EC,E05009302,E13000001
E00000012,-0.09593464,51.52199307,E01000003,E02000001,E09000001,EC1Y0,EC1Y,EC,E05009302,E13000001
E00000013,-0.09641244,51.52092745,E01000003,E02000001,E09000001,EC2Y8,EC2Y,EC,E05009288,E13000001
E00000014,-0.0968738,51.52209844,E01000003,E02000001,E09000001,EC1Y0,EC1Y,EC,E05009302,E13000001
E00000016,-0.09314097,51.52107186,E01000002,E02000001,E09000001,EC1Y8,EC1Y,EC,E05009302,E13000001
E00000017,-0.09178906,51.52044364,E01000002,E02000001,E09000001,EC2Y8,EC2Y,EC,E05009299,E13000001
E00000018,-0.09335144,51.51940034,E01000002,E02000001,E09000001,EC2Y8,EC2Y,EC,E05009302,E13000001
E00000019,-0.0905828,51.52003761,E01000002,E02000001,E09000001,EC2Y9,EC2Y,EC,E05009302,E13000001
E00000020,-0.09091937,51.51889853,E01000002,E02000001,E09000001,EC2Y8,EC2Y,EC,E05009302,E13000001
E00000021,-0.0925368,51.51724249,E01000002,E02000001,E09000001,EC2V7,EC2V,EC,E05009290,E13000001
E00000022,-0.09644552,51.52285445,E01000003,E02000001,E09000001,EC1Y0,EC1Y,EC,E05009302,E13000001
E00000023,-0.09521771,51.5221487,E01000003,E02000001,E09000001,EC1Y0,EC1Y,EC,E05009302,E13000001
E00000024,-0.10010887,51.51348576,E01032739,E02000001,E09000001,EC4V5,EC4V,EC,E05009304,E13000001
E00000025,-0.10778984,51.51296339,E01032740,E02000001,E09000001,EC4Y7,EC4Y,EC,E05009297,E13000001
E00000026,-0.10437777,51.51664107,E01032740,E02000001,E09000001,EC4M7,EC4M,EC,E05009304,E13000001
E00000027,-0.10132635,51.51861433,E01032740,E02000001,E09000001,EC1A9,EC1A,EC,E05009305,E13000001
E00000028,-0.11109561,51.51636417,E01032740,E02000001,E09000001,EC4A1,EC4A,EC,E05009305,E13000001
E00000029,-0.07553278,51.51300183,E01000005,E02000001,E09000001,EC3N1,EC3N,EC,E05009310,E13000001
E00000030,-0.07747809,51.51638393,E01000005,E02000001,E09000001,E1  7,E1,E,E05009308,E13000001
E00000031,-0.07710512,51.51574468,E01000005,E02000001,E09000001,E1  7,E1,E,E05009308,E13000001
E00000032,-0.07393413,51.51297792,E01000005,E02000001,E09000001,E1  8,E1,E,E05009308,E13000001
E00000035,-0.08060367,51.51143512,E01032739,E02000001,E09000001,EC3R7,EC3R,EC,E05009289,E13000001
E00000037,0.08280255,51.54192606,E01000009,E02000017,E09000002,IG118,IG11,IG,E05000026,E13000002
E00000038,0.08284536,51.54269121,E01000011,E02000017,E09000002,IG118,IG11,IG,E05000026,E13000002
E00000039,0.06991659,51.54297954,E01000012,E02000016,E09000002,IG118,IG11,IG,E05000026,E13000002
E00000040,0.07532949,51.54073997,E01000007,E02000016,E09000002,IG118,IG11,IG,E05000026,E13000002
E00000041,0.08480665,51.54126584,E01000009,E02000017,E09000002,IG118,IG11,IG,E05000026,E13000002
E00000042,0.08148991,51.54143571,E01000009,E02000017,E09000002,IG118,IG11,IG,E05000026,E13000002
E00000043,0.0703343,51.54156234,E01000008,E02000016,E09000002,IG118,IG11,IG,E05000026,E13000002
E00000045,0.07214254,51.54235146,E01000012,E02000016,E09000002,IG118,IG11,IG,E05000026,E13000002
