"station_id","terminal_id","x_lon","y_lat","address","postcode","place","area","docks","first_hire","last_hire","is_active","hires_started","duration_started","hires_ended","duration_ended","hires_self","duration_self","hires_started_noself","duration_started_noself","hires_ended_noself","duration_ended_noself","OA","LSOA","MSOA","LAD","WARD","PCON","PCS","PCD","PCA"
0,NA,NA,NA,NA,NA,"Deposit","void",NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"001023",-0.10997,51.529163,"24 River St, London EC1R 1XN, UK","EC1R1XN","River Street","Clerkenwell",19,20120104,20180410,1,53264,848,36905,1074,1891,1090,51373,839,35014,1073,"E00013560","E01002729","E02000574","E09000019","","","EC1R1","EC1R","EC"
2,"001018",-0.197574,51.499606,"1 Phillimore Gardens, Kensington, London W8 7QB, UK","W8  7RA","Phillimore Gardens","Kensington",37,20120104,20180410,1,78526,1388,82007,1210,1989,3578,76537,1331,80018,1151,"E00014391","E01002865","E02000587","E09000020","","","W8  7","W8","W"
3,"001012",-0.084605,51.521283,"9 Christopher St, London EC2A 2BS, UK","EC2A2BU","Christopher Street","Liverpool Street",32,20120104,20180410,1,87303,906,99005,845,680,2440,86623,894,98325,834,"E00008834","E01033708","E02000371","E09000012","","","EC2A2","EC2A","EC"
4,"001013",-0.120973,51.530059,"8 St Chad's St, Kings Cross, London, UK","WC1X8QS","St. Chad's Street","King's Cross",23,20120104,20180410,1,88380,1141,103133,1055,1029,3024,87351,1118,102104,1035,"E00004659","E01000938","E02000189","E09000007","","","WC1X8","WC1X","WC"
5,"003420",-0.156876,51.49313,"3 Sedding St, Belgravia, London SW1X 9DE, UK","SW1W8EE","Sedding Street","Sloane Square",27,20120104,20180410,1,108140,1285,115379,1252,1953,3440,106187,1245,113426,1214,"E00014368","E01002859","E02000588","E09000020","","","SW1W8","SW1W","SW"
6,"003424",-0.144228,51.518117,"3 Portland Pl, Marylebone, London W1B 1HR, UK","W1B 1HR","Broadcasting House","Marylebone",18,20120104,20180410,1,93388,1099,99160,1165,1397,3094,91991,1069,97763,1137,"E00024124","E01004765","E02000972","E09000033","","","W1B 1","W1B","W"
7,"003422",-0.168074,51.5343,"53 Allitsen Rd, London NW8 7DE, UK","NW8 7BT","Charlbert Street","St. John's Wood",16,20120104,20180410,1,45032,1379,40111,1523,2696,3056,42336,1272,37415,1413,"E00023889","E01004724","E02000960","E09000033","","","NW8 7","NW8","NW"
8,"003423",-0.170134,51.528341,"48 Lodge Rd, London NW8 8NZ, UK","NW8 8JY","Lodge Road","St. John's Wood",18,20120104,20180410,1,14306,1270,11390,1404,424,3676,13882,1196,10966,1316,"E00023902","E01004725","E02000962","E09000033","","","NW8 8","NW8","NW"
9,"001015",-0.09644,51.507385,"18 New Globe Walk, London SE1 9DR, UK","SE1 9DR","New Globe Walk","Bankside",19,20120104,20180410,1,109816,1196,111430,1166,2145,1675,107671,1186,109285,1156,"E00167481","E01003935","E02000808","E09000028","","","SE1 9","SE1","SE"
10,"001024",-0.092754,51.505974,"28-30 Park St, London SE1, UK","SE1 9ER","Park Street","Bankside",18,20120104,20180410,1,72130,1332,76764,1270,1393,2347,70737,1312,75371,1250,"E00019780","E01003935","E02000808","E09000028","","","SE1 9","SE1","SE"
11,"001022",-0.122502,51.523951,"11-13 Brunswick Square, London WC1N 1AF, UK","WC1N1AW","Brunswick Square","Bloomsbury",24,20120104,20180410,1,101356,914,97744,856,1280,3057,100076,887,96464,827,"E00004179","E01000853","E02000190","E09000007","","","WC1N1","WC1N","WC"
12,"000980",-0.130431,51.52168,"Malet St, London WC1E 7HZ, UK","WC1E7HX","Malet Street","Bloomsbury",49,20120104,20180410,1,184652,914,187793,896,2405,2126,182247,898,185388,881,"E00004193","E01000850","E02000191","E09000007","","","WC1E7","WC1E","WC"
13,"000970",-0.136039,51.519914,"2 Scala St, Fitzrovia, London W1T, UK","W1T 2NU","Scala Street","Fitzrovia",21,20120104,20180410,1,71039,927,75187,935,1004,2134,70035,910,74183,919,"E00004198","E01000851","E02000191","E09000007","","","W1T 2","W1T","W"
14,"001011",-0.123616,51.529943,"2 Belgrove St, Kings Cross, London WC1H, UK","NW1 2SB","Belgrove Street","King's Cross",48,20120104,20180410,1,569624,999,560854,993,3468,3974,566156,981,557386,974,"E00004658","E01000939","E02000189","E09000007","","","NW1 2","NW1","NW"
15,"000988",-0.127854,51.517727,"97 Great Russell St, Fitzrovia, London WC1B, UK","WC1B3LE","Great Russell Street","Bloomsbury",26,20120104,20180410,1,111182,1177,112734,1114,1421,3417,109761,1148,111313,1085,"E00174659","E01000855","E02000193","E09000007","","","WC1B3","WC1B","WC"
16,"001010",-0.125979,51.526357,"1 Cartwright Gardens, Kings Cross, London WC1H, UK","WC1N1AG","Cartwright Gardens","Bloomsbury",22,20120104,20180410,1,113186,996,105154,930,1954,2890,111232,963,103200,893,"E00004649","E01000943","E02000190","E09000007","","","WC1N1","WC1N","WC"
17,"001008",-0.109006,51.521661,"Blackbull Yard, London EC1N, UK","EC1N8LX","Hatton Wall","Holborn",26,20120104,20180410,1,164826,904,167587,889,2020,2114,162806,889,165567,874,"E00004542","E01000916","E02000192","E09000007","","","EC1N8","EC1N","EC"
18,"001007",-0.122219,51.51477,"36-37 Drury Ln, London WC2B 5RR, UK","WC2B5AD","Drury Lane","Covent Garden",27,20120104,20180410,1,191383,1105,200271,1155,2221,2766,189162,1086,198050,1137,"E00004527","E01000918","E02000193","E09000007","","","WC2B5","WC2B","WC"
19,"001009",-0.131161,51.52505,"14 Taviton St, Kings Cross, London WC1H 0BW, UK","WC1H0PY","Taviton Street","Bloomsbury",30,20120104,20180410,1,109676,944,107958,888,1335,2382,108341,926,106623,869,"E00004173","E01000852","E02000191","E09000007","","","WC1H0","WC1H","WC"
20,"000993",-0.135273,51.527736,"93 Drummond St, Kings Cross, London NW1, UK","NW1 2LW","Drummond Street","Euston",28,20120104,20180410,1,105075,1040,84019,1013,1022,3494,104053,1016,82997,983,"E00004694","E01000945","E02000188","E09000007","","","NW1 2","NW1","NW"
21,"003426",-0.138846,51.530078,"140 Hampstead Rd, Kings Cross, London NW1 2BX, UK","NW1 3SH","Hampstead Road (Cartmel)","Euston",16,20120104,20180410,1,33342,1136,28920,1160,735,2465,32607,1106,28185,1125,"E00004722","E01000950","E02000188","E09000007","","","NW1 3","NW1","NW"
22,"003425",-0.114079,51.522264,"57A Gray's Inn Rd, London WC1X 8PP, UK","WC1N2JE","Northington Street","Holborn",19,20120104,20180410,1,108323,860,110256,828,1077,1986,107246,849,109179,816,"E00174674","E01000920","E02000192","E09000007","","","WC1N2","WC1N","WC"
23,"003421",-0.119123,51.519435,"Old N St, London WC1R, UK","WC1R4RB","Red Lion Square","Holborn",16,20120104,20180410,1,76879,902,74261,916,578,2125,76301,893,73683,907,"E00004554","E01000914","E02000193","E09000007","","","WC1R4","WC1R","WC"
24,"000981",-0.124678,51.51908,"27 Montague St, London WC1B, UK","WC1B5BW","British Museum","Bloomsbury",35,20120104,20180410,1,149958,1226,150568,1181,2523,3294,147435,1190,148045,1145,"E00004169","E01000855","E02000193","E09000007","","","WC1B5","WC1B","WC"
25,"001004",-0.13225,51.528833,"46 Doric Way, Kings Cross, London NW1 1LB, UK","NW1 1LH","Doric Way","Somers Town",31,20120104,20180410,1,121796,1033,105552,1049,1514,2942,120282,1009,104038,1021,"E00004730","E01000955","E02000187","E09000007","","","NW1 1","NW1","NW"
26,"001019",-0.118295,51.52728,"36 Ampton St, Kings Cross, London WC1X 0LX, UK","WC1X8EB","Ampton Street","Clerkenwell",21,20120104,20180309,0,75099,983,66275,998,1393,1934,73706,965,64882,978,"E00004677","E01000940","E02000189","E09000007","","","WC1X8","WC1X","WC"
27,"001021",-0.107927,51.513821,"4 Bouverie St, London EC4Y, UK","EC4Y8AY","Bouverie Street","Temple",33,20120104,20180410,1,111627,968,119262,971,873,2613,110754,955,118389,959,"E00000025","E01032740","E02000001","E09000001","","","EC4Y8","EC4Y","EC"
28,"001025",-0.143613,51.523518,"53 Bolsover St, Fitzrovia, London W1W 5NG, UK","W1W 5JL","Bolsover Street","Fitzrovia",19,20120104,20180410,1,120373,1131,117606,1150,3742,3316,116631,1061,113864,1079,"E00023818","E01004715","E02000972","E09000033","","","W1W 5","W1W","W"
29,"001016",-0.193487,51.513735,"64 Leinster Square, London W2, UK","W2  4PW","Hereford Road","Bayswater",22,20120104,20180410,1,71973,1315,65359,1293,2122,3269,69851,1255,63237,1227,"E00023480","E01004654","E02000973","E09000033","","","W2  4","W2","W"
30,"001029",-0.093421,51.529154,"2 Windsor Terrace, London N1, UK","N1  7TJ","Windsor Terrace","Hoxton",24,20120104,20180410,1,85816,905,72431,894,1229,3099,84587,873,71202,856,"E00008877","E01001779","E02000370","E09000012","","","N1  7","N1","N"
31,"003427",-0.083353,51.529537,"73 Pitfield St, London N1, UK","N1  6BS","Fanshaw Street","Hoxton",36,20120104,20180410,1,83586,1114,74372,1044,1915,3550,81671,1057,72457,978,"E00008872","E01033711","E02000371","E09000012","","","N1  6","N1","N"
32,"001020",-0.084439,51.524696,"56-64 Leonard St, London EC2A 4LT, UK","EC2A4LW","Leonard Circus","Shoreditch",43,20120104,20180410,1,161186,996,168244,897,2452,2676,158734,970,165792,871,"E00008834","E01033708","E02000371","E09000012","","","EC2A4","EC2A","EC"
