WPZ,x_lon,y_lat,MSOA,LAD,CTY
E33028816,-0.09609213,51.51635255,E02000001,E09000001,E13000001
E33028817,-0.09593293,51.51550734,E02000001,E09000001,E13000001
E33028818,-0.09870516,51.51716162,E02000001,E09000001,E13000001
E33028819,-0.09603173,51.51739487,E02000001,E09000001,E13000001
E33028820,-0.09674302,51.51539521,E02000001,E09000001,E13000001
E33028821,-0.09747728,51.51611342,E02000001,E09000001,E13000001
E33028822,-0.09708914,51.51716345,E02000001,E09000001,E13000001
E33028823,-0.08964191,51.51955057,E02000001,E09000001,E13000001
E33028824,-0.092633,51.51615228,E02000001,E09000001,E13000001
E33028825,-0.09405872,51.51488724,E02000001,E09000001,E13000001
E33028826,-0.09274369,51.51800481,E02000001,E09000001,E13000001
E33028827,-0.09514663,51.51717657,E02000001,E09000001,E13000001
E33028828,-0.09398338,51.51577547,E02000001,E09000001,E13000001
E33028829,-0.09018178,51.51770925,E02000001,E09000001,E13000001
E33028830,-0.09345625,51.51646319,E02000001,E09000001,E13000001
E33028831,-0.09432715,51.5171775,E02000001,E09000001,E13000001
E33028832,-0.09468389,51.51631497,E02000001,E09000001,E13000001
E33028833,-0.09496359,51.51540529,E02000001,E09000001,E13000001
E33028834,-0.09426799,51.51795308,E02000001,E09000001,E13000001
E33028835,-0.09197318,51.51747684,E02000001,E09000001,E13000001
E33028836,-0.09521516,51.51440182,E02000001,E09000001,E13000001
E33028837,-0.0990709,51.51368437,E02000001,E09000001,E13000001
E33028838,-0.09972983,51.51239414,E02000001,E09000001,E13000001
E33028839,-0.10286877,51.51349921,E02000001,E09000001,E13000001
E33028840,-0.10058351,51.51438904,E02000001,E09000001,E13000001
E33028841,-0.10093846,51.51296343,E02000001,E09000001,E13000001
E33028842,-0.10191594,51.51382799,E02000001,E09000001,E13000001
E33028843,-0.10109794,51.51375269,E02000001,E09000001,E13000001
E33028844,-0.10043739,51.51170181,E02000001,E09000001,E13000001
E33028845,-0.09770927,51.51508576,E02000001,E09000001,E13000001
E33028846,-0.09624224,51.5144264,E02000001,E09000001,E13000001
